customer_id,signup_date,segment,country,is_enterprise
C0217,2023-01-12,,UK,False
C0218,2023-02-11,SMB,IN,False
C0219,2023-03-30,,UK,False
C0220,2023-02-21,SMB,DE,False
C0221,2023-02-02,Enterprise,US,True
C0222,2023-02-21,SMB,AU,False
C0223,2023-03-01,,US,False
C0224,2023-02-16,,AU,False
C0225,2023-01-07,Mid-Market,UK,False
C0226,2023-02-06,,AU,False
C0227,2023-01-04,Mid-Market,AU,False
C0228,2023-03-12,SMB,CA,False
C0229,2023-01-29,SMB,DE,False
C0230,2023-03-24,Mid-Market,DE,False
C0231,2023-02-07,Enterprise,DE,True
C0232,2023-03-02,Mid-Market,DE,False
C0233,2023-02-19,Mid-Market,CA,False
C0234,2023-01-18,SMB,UK,False
C0235,2023-02-23,Enterprise,CA,True
C0236,2023-01-01,Enterprise,AU,True
C0237,2023-03-17,,IN,False
C0238,2023-03-03,Enterprise,UK,True
C0239,2023-03-11,,DE,False
C0240,2023-01-25,Mid-Market,CA,False
C0241,2023-02-22,SMB,UK,False
C0242,2023-04-01,,DE,False
C0243,2023-03-25,Mid-Market,DE,False
C0244,2023-01-17,Enterprise,US,True
C0245,2023-02-26,SMB,CA,False
C0246,2023-01-02,Mid-Market,DE,False
C0247,2023-01-20,SMB,DE,False
C0248,2023-02-03,Enterprise,CA,True
C0249,2023-03-25,SMB,UK,False
C0250,2023-03-10,,UK,False
C0251,2023-03-04,SMB,CA,False
C0252,2023-03-22,Enterprise,IN,True
C0253,2023-02-25,SMB,AU,False
C0254,2023-01-13,,IN,False
C0255,2023-01-04,SMB,UK,False
C0256,2023-02-07,Enterprise,UK,True
C0257,2023-02-01,,CA,False
C0258,2023-01-24,Mid-Market,IN,False
C0259,2023-02-18,Mid-Market,DE,False
C0260,2023-01-19,Mid-Market,DE,False
C0261,2023-02-28,Enterprise,AU,True
C0262,,,UK,False
C0263,2023-01-21,SMB,DE,False
C0264,2023-03-17,Enterprise,AU,True
C0265,2023-03-30,Enterprise,DE,True
C0266,2023-01-26,,DE,False
C0267,2023-02-18,Enterprise,CA,True
C0268,2023-03-31,Enterprise,US,True
C0269,2023-03-26,,UK,False
C0270,,SMB,CA,False
C0271,2023-02-06,Mid-Market,CA,False
C0272,2023-01-29,Mid-Market,CA,False
C0273,2023-03-26,Mid-Market,AU,False
C0274,2023-03-22,SMB,UK,False
C0275,2023-01-05,Enterprise,AU,True
C0276,2023-02-07,Enterprise,AU,True
C0277,2023-01-26,Mid-Market,CA,False
C0278,2023-02-16,Enterprise,IN,True
C0279,2023-03-03,Enterprise,AU,True
C0280,2023-01-15,,US,False
C0281,2023-01-29,,CA,False
C0282,2023-02-20,SMB,UK,False
C0283,2023-02-28,Enterprise,AU,True
C0284,2023-02-03,,AU,False
C0285,2023-01-14,Mid-Market,DE,False
C0286,,Enterprise,CA,True
C0287,2023-01-09,,AU,False
C0288,2023-02-22,SMB,IN,False
C0289,,SMB,UK,False
C0290,2023-01-15,SMB,IN,False
C0291,2023-01-18,,DE,False
C0292,2023-03-31,,CA,False
C0293,2023-01-20,,AU,False
C0294,2023-03-04,,UK,False
C0295,,Enterprise,IN,True
C0296,2023-01-31,Enterprise,US,True
C0297,2023-02-17,Enterprise,US,True
C0298,2023-01-25,SMB,DE,False
C0299,2023-01-28,SMB,US,False
C0300,2023-02-01,Mid-Market,CA,False
C0301,2023-03-12,Mid-Market,CA,False
C0302,2023-01-30,Enterprise,IN,True
C0303,2023-03-18,SMB,UK,False
C0304,2023-01-19,Mid-Market,CA,False
C0305,2023-01-23,SMB,AU,False
C0306,2023-01-17,SMB,UK,False
C0307,2023-01-31,Enterprise,US,True
C0308,2023-01-07,Mid-Market,AU,False
C0309,2023-01-15,SMB,DE,False
C0310,2023-02-16,SMB,DE,False
C0311,2023-03-20,SMB,AU,False
C0312,2023-03-26,Enterprise,DE,True
C0313,2023-01-04,SMB,DE,False
C0314,2023-02-24,SMB,DE,False
C0315,2023-02-26,SMB,US,False
C0316,2023-01-19,SMB,IN,False
C0317,2023-03-23,Enterprise,DE,True
C0318,2023-03-09,Enterprise,DE,True
C0319,2023-02-25,SMB,AU,False
C0320,2023-03-25,Mid-Market,DE,False
C0321,2023-01-30,,UK,False
C0322,2023-02-21,,AU,False
C0323,2023-02-24,Enterprise,AU,True
C0324,2023-01-20,,US,False
C0325,2023-01-11,SMB,DE,False
C0326,2023-02-17,Mid-Market,CA,False
C0327,2023-03-13,Enterprise,AU,True
C0328,2023-02-15,,AU,False
C0329,2023-02-06,Enterprise,UK,True
C0330,2023-03-06,Mid-Market,IN,False
C0331,2023-01-29,SMB,UK,False
C0332,2023-02-17,SMB,UK,False
C0333,2023-02-24,SMB,CA,False
C0334,2023-03-30,Enterprise,US,True
C0335,2023-03-31,Enterprise,UK,True
C0336,2023-01-24,Mid-Market,CA,False
C0337,2023-01-09,Mid-Market,AU,False
C0338,2023-01-04,SMB,AU,False
C0339,2023-02-18,,DE,False
C0340,2023-02-17,Enterprise,AU,True
C0341,2023-03-14,SMB,US,False
C0342,2023-03-21,SMB,AU,False
C0343,2023-02-26,,DE,False
C0344,2023-02-23,Enterprise,IN,True
C0345,2023-01-15,Enterprise,DE,True
C0346,2023-03-28,,CA,False
C0347,2023-01-06,Mid-Market,DE,False
C0348,2023-01-08,SMB,IN,False
C0349,2023-01-28,Mid-Market,UK,False
C0350,2023-01-16,SMB,DE,False
C0351,2023-01-23,Mid-Market,DE,False
C0352,2023-01-30,Enterprise,US,True
C0353,2023-01-06,,US,False
C0354,2023-01-10,Enterprise,CA,True
C0355,2023-02-21,,UK,False
C0356,2023-01-03,Enterprise,IN,True
C0357,2023-03-21,,AU,False
C0358,2023-01-12,,US,False
C0359,2023-03-17,,CA,False
C0360,2023-02-09,Enterprise,IN,True
C0361,2023-01-22,SMB,CA,False
C0362,2023-03-09,Mid-Market,UK,False
C0363,2023-03-24,Mid-Market,IN,False
C0364,2023-02-02,Mid-Market,IN,False
C0365,2023-03-25,SMB,IN,False
C0366,2023-03-22,,DE,False
C0367,2023-03-16,,AU,False
C0368,2023-03-14,Enterprise,AU,True
C0369,2023-02-26,SMB,DE,False
C0370,2023-02-08,Enterprise,CA,True
C0371,2023-03-06,SMB,UK,False
C0372,2023-01-05,SMB,UK,False
C0373,2023-01-10,SMB,CA,False
C0374,2023-02-19,,CA,False
C0375,2023-01-06,,CA,False
C0376,2023-02-11,,CA,False
C0377,2023-01-08,,US,False
C0378,2023-02-13,SMB,CA,False
C0379,2023-01-06,Mid-Market,AU,False
C0380,2023-02-26,Mid-Market,UK,False
C0381,2023-02-06,,DE,False
C0382,2023-03-28,SMB,AU,False
C0383,2023-01-09,Enterprise,US,True
C0384,2023-02-19,Enterprise,UK,True
C0385,2023-03-26,Mid-Market,UK,False
C0386,2023-03-26,Mid-Market,UK,False
C0387,2023-03-25,,IN,False
C0388,2023-01-11,Enterprise,CA,True
C0389,2023-02-12,Mid-Market,AU,False
C0390,2023-03-29,SMB,AU,False
C0391,2023-03-07,Enterprise,US,True
C0392,2023-01-24,Mid-Market,UK,False
C0393,2023-03-04,Mid-Market,IN,False
C0394,2023-01-20,SMB,UK,False
C0395,2023-01-13,SMB,AU,False
C0396,2023-03-21,Mid-Market,CA,False
C0397,2023-01-21,Mid-Market,AU,False
C0398,2023-01-22,,US,False
C0399,2023-03-28,Mid-Market,DE,False
C0400,2023-02-27,Mid-Market,CA,False
C0401,2023-03-02,Mid-Market,UK,False
C0402,2023-03-15,,DE,False
C0403,2023-02-18,,IN,False
C0404,2023-03-19,Mid-Market,UK,False
C0405,2023-03-03,Enterprise,CA,True
C0406,2023-03-08,SMB,UK,False
C0407,2023-01-21,Enterprise,DE,True
C0408,2023-01-19,,US,False
C0409,2023-01-29,,UK,False
C0410,2023-02-23,SMB,DE,False
C0411,2023-01-31,,US,False
C0412,2023-01-04,Enterprise,US,True
C0413,2023-03-25,Enterprise,IN,True
C0414,2023-02-06,,AU,False
C0415,2023-04-01,,DE,False
C0416,2023-01-11,SMB,UK,False
C0417,2023-01-20,,US,False
C0418,2023-01-31,Enterprise,US,True
C0419,,,AU,False
C0420,2023-02-28,SMB,US,False
C0421,2023-03-05,SMB,AU,False
C0422,2023-01-31,Mid-Market,UK,False
C0423,2023-03-20,Enterprise,IN,True
C0424,2023-01-24,SMB,CA,False
C0425,2023-01-09,SMB,DE,False
C0426,2023-01-06,,UK,False
C0427,2023-01-03,Enterprise,US,True
C0428,2023-03-26,SMB,CA,False
C0429,2023-02-12,Mid-Market,US,False
C0430,2023-02-13,Mid-Market,AU,False
C0431,2023-03-31,,AU,False
C0432,2023-01-18,SMB,AU,False
C0433,2023-02-28,SMB,UK,False
C0434,2023-01-26,SMB,UK,False
C0435,2023-03-07,,CA,False
C0436,2023-01-05,Mid-Market,UK,False
C0437,2023-01-07,Enterprise,UK,True
C0438,2023-02-17,,DE,False
C0439,2023-02-19,Enterprise,IN,True
C0440,2023-03-05,Enterprise,CA,True
C0441,2023-01-11,,US,False
C0442,2023-01-24,Enterprise,UK,True
C0443,2023-02-11,Enterprise,UK,True
C0444,2023-02-24,Mid-Market,AU,False
C0445,2023-02-27,SMB,AU,False
C0446,2023-02-15,,UK,False
C0447,2023-01-08,SMB,AU,False
C0448,2023-02-16,Mid-Market,US,False
C0449,2023-03-19,,US,False
C0450,2023-01-31,Enterprise,UK,True
C0451,2023-03-14,SMB,CA,False
C0452,2023-02-27,Enterprise,UK,True
C0453,2023-01-10,Mid-Market,CA,False
C0454,2023-02-10,Enterprise,IN,True
C0455,2023-01-04,Mid-Market,DE,False
C0456,2023-03-13,SMB,UK,False
C0457,2023-04-01,,IN,False
C0458,2023-02-06,,IN,False
C0459,2023-01-10,,IN,False
C0460,2023-02-26,SMB,AU,False
C0461,2023-02-10,Enterprise,AU,True
C0462,2023-03-11,Enterprise,UK,True
C0463,2023-04-01,Mid-Market,UK,False
C0464,2023-01-16,Mid-Market,IN,False
C0465,2023-03-05,SMB,UK,False
C0466,2023-02-17,,CA,False
C0467,2023-01-12,SMB,UK,False
C0468,2023-03-03,,DE,False
C0469,2023-01-10,Mid-Market,UK,False
C0470,2023-02-27,,AU,False
C0471,2023-01-17,Mid-Market,IN,False
C0472,2023-01-08,SMB,CA,False
C0473,2023-01-22,Mid-Market,UK,False
C0474,2023-01-29,Enterprise,CA,True
C0475,2023-01-11,Enterprise,IN,True
C0476,2023-03-12,Enterprise,IN,True
C0477,2023-03-20,SMB,CA,False
C0478,2023-03-17,Mid-Market,IN,False
C0479,2023-03-19,Enterprise,CA,True
C0480,,SMB,US,False
C0481,,Enterprise,AU,True
C0482,2023-03-15,,CA,False
C0483,2023-03-05,Enterprise,AU,True
C0484,2023-03-03,Mid-Market,AU,False
C0485,2023-02-28,SMB,AU,False
C0486,2023-02-26,,DE,False
C0487,2023-02-13,Mid-Market,UK,False
C0488,2023-02-10,Enterprise,DE,True
C0489,2023-02-17,SMB,UK,False
C0490,2023-01-16,Enterprise,DE,True
C0491,2023-01-13,SMB,UK,False
C0492,2023-03-20,,IN,False
C0493,2023-01-21,Enterprise,CA,True
C0494,2023-01-25,Mid-Market,DE,False
C0495,2023-03-01,,UK,False
C0496,2023-01-12,,CA,False
C0497,2023-01-31,Mid-Market,CA,False
C0498,2023-01-07,Enterprise,DE,True
C0499,2023-03-25,,UK,False
C0500,2023-01-14,,IN,False
C0501,2023-02-16,,UK,False
C0502,,SMB,CA,False
C0503,2023-02-16,Enterprise,US,True
C0504,2023-02-27,Enterprise,CA,True
C0505,2023-01-16,Mid-Market,US,False
C0506,2023-02-13,Enterprise,IN,True
C0507,2023-03-07,,CA,False
C0508,,SMB,IN,False
C0509,2023-03-02,,IN,False
C0510,2023-03-07,Mid-Market,UK,False
C0511,2023-02-10,Mid-Market,DE,False
C0512,2023-02-08,Enterprise,CA,True
C0513,2023-03-10,,AU,False
C0514,2023-03-02,SMB,UK,False
C0515,2023-01-15,,CA,False
C0516,2023-03-30,SMB,CA,False
C0517,2023-03-25,Mid-Market,AU,False
C0518,2023-03-03,Mid-Market,CA,False
C0519,2023-03-21,,IN,False
C0520,2023-02-01,SMB,CA,False
C0521,2023-01-15,Mid-Market,US,False
C0522,2023-02-23,Mid-Market,DE,False
C0523,2023-02-22,,AU,False
C0524,2023-04-01,Mid-Market,CA,False
C0525,2023-02-11,,CA,False
C0526,2023-01-23,,CA,False
C0527,2023-02-15,Enterprise,CA,True
C0528,2023-02-01,Enterprise,CA,True
C0529,2023-02-08,Enterprise,AU,True
C0530,2023-04-01,,UK,False
C0531,2023-03-13,Enterprise,UK,True
C0532,2023-03-28,,DE,False
C0533,2023-01-19,Enterprise,US,True
C0534,2023-01-11,Enterprise,DE,True
C0535,2023-03-03,Mid-Market,IN,False
C0536,2023-02-04,Enterprise,IN,True
C0537,2023-03-17,Mid-Market,IN,False
C0538,2023-03-09,Mid-Market,AU,False
C0539,2023-01-13,,UK,False
C0540,2023-01-13,Mid-Market,US,False
C0541,2023-01-21,,AU,False
C0542,2023-03-02,,AU,False
C0543,2023-02-06,Enterprise,UK,True
C0544,2023-01-12,Mid-Market,CA,False
C0545,2023-01-05,Mid-Market,DE,False
C0546,2023-01-23,SMB,DE,False
C0547,2023-01-24,Enterprise,US,True
C0548,,SMB,UK,False
C0549,2023-03-24,,IN,False
C0550,2023-03-01,Enterprise,IN,True
C0551,2023-02-12,Mid-Market,AU,False
C0552,2023-02-02,Mid-Market,US,False
C0553,2023-02-07,Mid-Market,IN,False
C0554,2023-03-23,,DE,False
C0555,2023-01-12,,AU,False
C0556,2023-01-18,,UK,False
C0557,2023-01-01,Enterprise,DE,True
C0558,2023-02-04,Enterprise,UK,True
C0559,2023-03-15,SMB,UK,False
C0560,2023-03-30,Mid-Market,US,False
C0561,2023-03-01,Enterprise,IN,True
C0562,2023-03-06,Enterprise,AU,True
C0563,2023-02-07,Enterprise,CA,True
C0564,2023-01-18,,IN,False
C0565,2023-03-19,Enterprise,DE,True
C0566,2023-03-02,Mid-Market,IN,False
C0567,2023-03-18,SMB,CA,False
C0568,2023-04-01,Enterprise,US,True
C0569,2023-01-15,SMB,CA,False
C0570,2023-01-26,Mid-Market,IN,False
C0571,2023-03-08,,US,False
C0572,2023-03-16,,US,False
C0573,2023-02-27,SMB,DE,False
C0574,2023-02-23,,CA,False
C0575,2023-03-01,Enterprise,AU,True
C0576,,Enterprise,US,True
C0577,2023-03-16,SMB,US,False
C0578,2023-03-31,SMB,CA,False
C0579,2023-01-09,,US,False
C0580,2023-01-24,Mid-Market,AU,False
C0581,2023-03-24,,UK,False
C0582,2023-02-18,,DE,False
C0583,2023-03-29,Mid-Market,AU,False
C0584,2023-01-16,Mid-Market,CA,False
C0585,2023-01-17,Mid-Market,US,False
C0586,2023-02-08,,AU,False
C0587,2023-02-24,,IN,False
C0588,2023-02-14,Mid-Market,UK,False
C0589,2023-01-15,SMB,AU,False
C0590,2023-01-03,Mid-Market,IN,False
C0591,2023-03-18,SMB,DE,False
C0592,2023-04-01,SMB,IN,False
C0593,2023-02-21,,IN,False
C0594,2023-01-08,Mid-Market,CA,False
C0595,2023-01-30,Enterprise,CA,True
C0596,2023-03-28,Enterprise,IN,True
C0597,2023-01-19,Mid-Market,DE,False
C0598,2023-01-08,Mid-Market,AU,False
C0599,2023-03-13,,US,False
C0600,2023-03-24,,CA,False
C0601,2023-02-23,,IN,False
C0602,2023-01-24,,IN,False
C0603,2023-02-08,Mid-Market,DE,False
C0604,2023-03-13,,DE,False
C0605,2023-01-18,,IN,False
C0606,2023-02-12,SMB,DE,False
C0607,2023-01-12,Mid-Market,US,False
C0608,2023-03-28,SMB,US,False
C0609,2023-03-17,Mid-Market,DE,False
C0610,2023-02-12,Enterprise,US,True
C0611,2023-01-25,SMB,AU,False
C0612,2023-03-03,Mid-Market,AU,False
C0613,2023-01-27,,IN,False
C0614,2023-02-06,,DE,False
C0615,2023-02-15,Enterprise,UK,True
C0616,2023-03-05,,US,False
C0617,2023-03-02,Enterprise,IN,True
C0618,2023-02-22,SMB,CA,False
C0619,2023-01-19,SMB,UK,False
C0620,2023-03-16,,UK,False
C0621,2023-02-12,Mid-Market,DE,False
C0622,2023-02-01,,CA,False
C0623,2023-03-29,Enterprise,UK,True
C0624,2023-03-04,,DE,False
C0625,2023-02-15,Mid-Market,IN,False
C0626,2023-03-04,Mid-Market,CA,False
C0627,2023-01-08,SMB,US,False
C0628,2023-03-27,SMB,US,False
C0629,2023-03-22,Mid-Market,US,False
C0630,2023-01-02,Mid-Market,CA,False
C0631,2023-01-08,,AU,False
C0632,2023-01-01,,US,False
C0633,,Enterprise,CA,True
C0634,2023-01-03,,IN,False
C0635,2023-01-13,Mid-Market,IN,False
C0636,2023-03-09,Enterprise,UK,True
C0637,2023-02-20,SMB,UK,False
C0638,2023-02-28,Mid-Market,AU,False
C0639,2023-03-29,SMB,AU,False
C0640,2023-03-25,SMB,US,False
C0641,2023-02-18,,US,False
C0642,2023-03-31,Mid-Market,US,False
C0643,2023-02-25,Enterprise,CA,True
C0644,2023-01-13,SMB,IN,False
C0645,2023-03-30,,UK,False
C0646,,SMB,AU,False
C0647,2023-03-11,SMB,IN,False
C0648,2023-02-10,SMB,IN,False
C0649,2023-02-20,SMB,UK,False
C0650,2023-01-31,,AU,False
C0651,2023-02-12,,AU,False
C0652,2023-03-30,SMB,CA,False
C0653,2023-02-14,SMB,US,False
C0654,2023-01-10,Enterprise,CA,True
C0655,2023-03-18,,UK,False
C0656,,Enterprise,DE,True
C0657,2023-02-15,,DE,False
C0658,2023-03-16,,US,False
C0659,2023-02-07,Mid-Market,AU,False
C0660,2023-02-04,Mid-Market,DE,False
C0661,2023-03-23,Mid-Market,AU,False
C0662,2023-02-16,SMB,US,False
C0663,,Enterprise,DE,True
C0664,2023-02-04,SMB,IN,False
C0665,2023-02-25,,CA,False
C0666,2023-02-22,SMB,US,False
C0667,2023-03-12,SMB,CA,False
C0668,2023-02-11,,US,False
C0669,2023-02-19,SMB,AU,False
C0670,2023-02-01,Mid-Market,AU,False
C0671,2023-01-18,Enterprise,UK,True
C0672,2023-01-19,SMB,IN,False
C0673,2023-02-23,Enterprise,DE,True
C0674,2023-02-16,Enterprise,IN,True
C0675,2023-03-05,Mid-Market,DE,False
C0676,2023-02-08,SMB,DE,False
C0677,2023-03-21,,UK,False
C0678,2023-02-25,Mid-Market,UK,False
C0679,2023-03-30,Mid-Market,DE,False
C0680,2023-02-20,Enterprise,UK,True
C0681,2023-03-23,,CA,False
C0682,2023-02-11,,UK,False
C0683,2023-02-20,Enterprise,US,True
C0684,2023-01-26,Mid-Market,AU,False
C0685,2023-01-04,,AU,False
C0686,2023-02-07,SMB,DE,False
C0687,2023-01-18,Enterprise,IN,True
C0688,2023-01-20,,DE,False
C0689,2023-03-18,,CA,False
C0690,2023-03-06,,CA,False
C0691,,Enterprise,AU,True
C0692,2023-03-10,SMB,US,False
C0693,2023-03-26,Enterprise,IN,True
C0694,2023-01-06,,UK,False
C0695,2023-02-25,SMB,US,False
