event_id,customer_id,event_type,event_date,source
E000049,C0023,trial_start,2023-02-19,referral
E000050,C0023,activated,2023-02-24,referral
E000051,C0024,signup,2023-02-28,ads
E000052,C0025,signup,2023-02-13,ads
E000053,C0025,trial_start,2023-02-14,ads
E000054,C0025,activated,2023-02-19,ads
E000055,C0026,signup,2023-01-14,outbound
E000056,C0026,trial_start,2023-01-15,outbound
E000057,C0026,activated,2023-01-17,outbound
E000058,C0027,signup,2023-03-23,outbound
E000059,C0027,trial_start,2023-03-24,outbound
E000060,C0027,activated,2023-03-29,outbound
E000061,C0028,signup,2023-01-18,outbound
E000062,C0028,trial_start,2023-01-19,outbound
E000063,C0028,activated,2023-01-23,outbound
E000064,C0029,signup,2023-02-09,referral
E000065,C0029,trial_start,2023-02-10,referral
E000066,C0029,activated,2023-02-14,referral
E000067,C0030,signup,2023-02-07,referral
E000068,C0030,trial_start,2023-02-08,referral
E000069,C0030,activated,2023-02-10,referral
E000070,C0030,churned,2023-05-12,referral
E000071,C0031,signup,2023-02-24,ads
E000072,C0032,signup,2023-01-09,outbound
E000073,C0032,trial_start,2023-01-10,outbound
E000074,C0033,signup,2023-03-16,referral
E000075,C0033,trial_start,2023-03-17,referral
E000076,C0033,activated,2023-03-20,referral
E000077,C0033,churned,2023-06-12,referral
E000078,C0034,signup,2023-03-05,ads
E000079,C0034,trial_start,2023-03-06,ads
E000080,C0034,activated,2023-03-08,ads
E000081,C0035,signup,2023-01-31,outbound
E000082,C0036,signup,2023-01-27,organic
E000083,C0036,churned,2023-02-27,organic
E000084,C0037,signup,2023-02-15,ads
E000085,C0037,signup,2023-02-15,ads
E000086,C0037,trial_start,2023-02-16,ads
E000087,C0037,activated,2023-02-18,ads
E000088,C0038,signup,2023-01-06,referral
E000089,C0038,trial_start,2023-01-07,referral
E000090,C0038,activated,2023-01-09,referral
E000091,C0039,signup,2023-02-13,outbound
E000092,C0039,trial_start,2023-02-14,outbound
E000093,C0039,activated,2023-02-16,outbound
E000094,C0040,signup,2023-01-03,ads
E000095,C0040,trial_start,2023-01-04,ads
E000096,C0041,signup,2023-01-27,referral
E000097,C0041,trial_start,2023-01-28,referral
E000098,C0042,signup,2023-01-09,organic
E000099,C0042,churned,2023-03-04,organic
E000100,C0043,signup,2023-03-10,outbound
E000101,C0043,trial_start,2023-03-11,outbound
E000102,C0043,activated,2023-03-13,outbound
E000103,C0044,signup,2023-03-10,outbound
E000104,C0044,trial_start,2023-03-11,outbound
E000105,C0044,activated,2023-03-14,outbound
E000106,C0045,signup,2023-01-27,organic
E000107,C0046,signup,2023-01-22,ads
E000108,C0047,signup,2023-03-05,referral
E000109,C0047,trial_start,2023-03-06,referral
E000110,C0048,signup,2023-03-05,organic
E000111,C0048,trial_start,2023-03-06,organic
E000112,C0049,signup,2023-01-27,ads
E000113,C0049,trial_start,2023-01-28,ads
E000114,C0050,signup,2023-02-24,referral
E000115,C0050,trial_start,2023-02-25,referral
E000116,C0051,signup,2023-01-18,ads
E000117,C0051,trial_start,2023-01-19,ads
E000118,C0051,activated,2023-01-21,ads
E000119,C0052,signup,2023-03-07,organic
E000120,C0052,trial_start,2023-03-08,organic
E000121,C0052,activated,2023-03-12,organic
E000122,C0053,signup,2023-02-10,organic
E000123,C0053,trial_start,2023-02-11,organic
E000124,C0053,activated,2023-02-14,organic
E000125,C0054,signup,2023-01-11,referral
E000126,C0054,trial_start,2023-01-12,referral
E000127,C0054,activated,2023-01-13,referral
E000128,C0055,signup,2023-01-13,outbound
E000129,C0055,trial_start,2023-01-14,outbound
E000130,C0055,activated,2023-01-17,outbound
E000131,C0055,churned,2023-03-26,outbound
E000132,C0056,signup,2023-02-08,referral
E000133,C0057,signup,2023-04-01,outbound
E000134,C0057,trial_start,2023-04-02,outbound
E000135,C0058,signup,2023-01-02,referral
E000136,C0058,trial_start,2023-01-03,referral
E000137,C0058,activated,2023-01-07,referral
E000138,C0059,signup,2023-03-02,ads
E000139,C0060,signup,2023-01-30,organic
E000140,C0061,signup,2023-03-01,organic
E000141,C0061,trial_start,2023-03-02,organic
E000142,C0062,signup,2023-01-27,organic
E000143,C0062,churned,2023-03-15,organic
E000144,C0063,signup,2023-02-09,outbound
E000145,C0063,trial_start,2023-02-10,outbound
E000146,C0064,signup,2023-01-29,referral
E000147,C0064,trial_start,2023-01-30,referral
E000148,C0064,activated,2023-02-04,referral
E000149,C0065,signup,2023-03-14,ads
E000150,C0065,churned,2023-05-25,ads
E000151,C0066,signup,2023-02-18,organic
E000152,C0066,trial_start,2023-02-19,organic
E000153,C0066,activated,2023-02-21,organic
E000154,C0067,signup,2023-03-14,referral
E000155,C0067,trial_start,2023-03-15,referral
E000156,C0067,activated,2023-03-17,referral
E000157,C0067,churned,2023-06-22,referral
E000158,C0068,signup,2023-01-05,outbound
E000159,C0068,trial_start,2023-01-06,outbound
E000160,C0068,activated,2023-01-08,outbound
E000161,C0068,churned,2023-03-25,outbound
E000162,C0069,signup,2023-01-27,referral
E000163,C0069,trial_start,2023-01-28,referral
E000164,C0069,activated,2023-01-29,referral
E000165,C0070,signup,2023-01-22,ads
E000166,C0071,signup,2023-01-17,ads
E000167,C0071,trial_start,2023-01-18,ads
E000168,C0071,activated,2023-01-20,ads
E000169,C0071,churned,2023-03-14,ads
E000170,C0072,signup,2023-02-25,referral
E000171,C0072,trial_start,2023-02-26,referral
E000172,C0072,activated,2023-03-03,referral
E000173,C0073,signup,2023-03-06,outbound
E000174,C0073,trial_start,2023-03-07,outbound
E000175,C0073,activated,2023-03-09,outbound
E000176,C0074,signup,2023-03-19,organic
E000177,C0074,trial_start,2023-03-20,organic
E000178,C0075,signup,2023-03-01,organic
E000179,C0076,signup,2023-02-14,organic
E000180,C0077,signup,2023-02-23,outbound
E000181,C0078,signup,2023-02-19,organic
E000182,C0078,trial_start,2023-02-20,organic
E000183,C0078,activated,2023-02-24,organic
E000184,C0079,signup,2023-01-31,ads
E000185,C0079,trial_start,2023-02-01,ads
E000186,C0080,signup,2023-03-31,ads
E000187,C0081,signup,2023-03-12,organic
E000188,C0081,trial_start,2023-03-13,organic
E000189,C0082,signup,2023-02-22,referral
E000190,C0082,trial_start,2023-02-23,referral
E000191,C0082,activated,2023-02-27,referral
E000192,C0082,churned,2023-06-13,referral
E000193,C0083,signup,2023-02-18,organic
E000194,C0083,trial_start,2023-02-19,organic
E000195,C0083,activated,2023-02-20,organic
E000196,C0083,churned,2023-04-03,organic
E000197,C0084,signup,2023-02-11,outbound
E000198,C0084,trial_start,2023-02-12,outbound
E000199,C0084,activated,2023-02-13,outbound
E000200,C0085,signup,2023-02-26,outbound
E000201,C0086,signup,2023-01-03,outbound
E000202,C0086,trial_start,2023-01-04,outbound
E000203,C0086,activated,2023-01-08,outbound
E000204,C0086,churned,2023-04-28,outbound
E000205,C0087,signup,2023-03-28,ads
E000206,C0087,trial_start,2023-03-29,ads
E000207,C0087,activated,2023-03-30,ads
E000208,C0088,signup,2023-02-26,outbound
E000209,C0089,signup,2023-02-19,ads
E000210,C0089,trial_start,2023-02-20,ads
E000211,C0089,activated,2023-02-21,ads
E000212,C0090,signup,2023-02-01,outbound
E000213,C0090,trial_start,2023-02-02,outbound
E000214,C0090,activated,2023-02-06,outbound
E000215,C0090,churned,2023-03-04,outbound
E000216,C0091,signup,2023-01-25,referral
E000217,C0091,trial_start,2023-01-26,referral
E000218,C0091,churned,2023-05-20,referral
E000219,C0092,signup,2023-01-22,outbound
E000220,C0092,signup,2023-01-22,outbound
E000221,C0092,trial_start,2023-01-23,outbound
E000222,C0093,signup,2023-03-21,outbound
E000223,C0093,trial_start,2023-03-22,outbound
E000224,C0093,churned,2023-05-17,outbound
E000225,C0094,signup,2023-02-15,ads
E000226,C0094,trial_start,2023-02-16,ads
E000227,C0094,churned,2023-04-13,ads
E000228,C0095,signup,2023-01-29,organic
E000229,C0095,signup,2023-01-29,organic
E000230,C0096,signup,2023-01-06,referral
E000231,C0096,signup,2023-01-06,referral
E000232,C0096,trial_start,2023-01-07,referral
E000233,C0096,activated,2023-01-12,referral
E000234,C0097,signup,2023-03-10,ads
E000235,C0098,signup,2023-01-13,referral
E000236,C0099,signup,2023-02-12,outbound
E000237,C0100,signup,2023-01-09,organic
E000238,C0100,trial_start,2023-01-10,organic
E000239,C0100,activated,2023-01-14,organic
E000240,C0101,signup,2023-03-06,outbound
E000241,C0101,churned,2023-06-22,outbound
E000242,C0102,signup,2023-02-09,ads
E000243,C0102,trial_start,2023-02-10,ads
E000244,C0102,activated,2023-02-11,ads
E000245,C0102,churned,2023-04-27,ads
E000246,C0103,signup,2023-02-07,organic
E000247,C0103,trial_start,2023-02-08,organic
E000248,C0103,churned,2023-05-24,organic
E000249,C0104,signup,2023-02-12,organic
E000250,C0104,trial_start,2023-02-13,organic
E000251,C0104,churned,2023-05-06,organic
E000252,C0105,signup,2023-01-04,referral
E000253,C0106,signup,2023-03-11,outbound
E000254,C0106,signup,2023-03-11,outbound
E000255,C0107,signup,2023-03-19,outbound
E000256,C0107,trial_start,2023-03-20,outbound
E000257,C0107,activated,2023-03-21,outbound
E000258,C0107,churned,2023-06-19,outbound
E000259,C0108,signup,2023-01-25,ads
E000260,C0108,signup,2023-01-25,ads
E000261,C0109,signup,2023-01-12,outbound
E000262,C0109,trial_start,2023-01-13,outbound
E000263,C0109,churned,2023-04-16,outbound
E000264,C0110,signup,2023-02-24,ads
E000265,C0110,trial_start,2023-02-25,ads
E000266,C0110,churned,2023-04-17,ads
E000267,C0111,signup,2023-02-08,outbound
E000268,C0111,trial_start,2023-02-09,outbound
E000269,C0112,signup,2023-01-11,organic
E000270,C0112,trial_start,2023-01-12,organic
E000271,C0112,activated,2023-01-16,organic
E000272,C0113,signup,2023-01-20,organic
E000273,C0113,churned,2023-04-08,organic
E000274,C0114,signup,2023-01-11,organic
E000275,C0115,signup,2023-03-12,outbound
E000276,C0115,trial_start,2023-03-13,outbound
E000277,C0115,activated,2023-03-17,outbound
E000278,C0116,signup,2023-01-10,organic
E000279,C0116,churned,2023-03-05,organic
E000280,C0117,signup,2023-01-02,ads
E000281,C0118,signup,2023-02-23,organic
E000282,C0119,signup,2023-02-09,organic
E000283,C0119,trial_start,2023-02-10,organic
E000284,C0119,activated,2023-02-11,organic
E000285,C0120,signup,2023-02-19,ads
E000286,C0120,trial_start,2023-02-20,ads
E000287,C0121,signup,2023-03-07,referral
E000288,C0121,trial_start,2023-03-08,referral
E000289,C0121,activated,2023-03-09,referral
E000290,C0122,signup,2023-02-01,organic
E000291,C0122,trial_start,2023-02-02,organic
E000292,C0123,signup,2023-03-31,ads
E000293,C0123,trial_start,2023-04-01,ads
E000294,C0124,signup,2023-02-02,outbound
E000295,C0124,trial_start,2023-02-03,outbound
E000296,C0124,churned,2023-03-18,outbound
E000297,C0125,signup,2023-03-24,ads
E000298,C0125,trial_start,2023-03-25,ads
E000299,C0126,signup,2023-03-08,ads
E000300,C0126,churned,2023-05-31,ads
E000301,C0127,signup,2023-03-30,referral
E000302,C0128,signup,2023-03-17,organic
E000303,C0128,trial_start,2023-03-18,organic
E000304,C0129,signup,2023-01-14,ads
E000305,C0130,signup,2023-02-04,outbound
E000306,C0131,signup,2023-01-01,referral
E000307,C0131,churned,2023-02-08,referral
E000308,C0132,signup,2023-03-09,organic
E000309,C0132,trial_start,2023-03-10,organic
E000310,C0132,activated,2023-03-12,organic
E000311,C0133,signup,2023-01-26,outbound
E000312,C0133,trial_start,2023-01-27,outbound
E000313,C0133,activated,2023-02-01,outbound
E000314,C0134,signup,2023-01-26,outbound
E000315,C0134,signup,2023-01-26,outbound
E000316,C0134,trial_start,2023-01-27,outbound
E000317,C0135,signup,2023-02-26,organic
E000318,C0135,trial_start,2023-02-27,organic
E000319,C0135,churned,2023-05-04,organic
E000320,C0136,signup,2023-02-18,ads
E000321,C0136,trial_start,2023-02-19,ads
E000322,C0136,activated,2023-02-21,ads
E000323,C0137,signup,2023-01-02,ads
E000324,C0137,signup,2023-01-02,ads
E000325,C0137,churned,2023-04-16,ads
E000326,C0138,signup,2023-01-13,ads
E000327,C0139,signup,2023-03-04,referral
E000328,C0139,trial_start,2023-03-05,referral
E000329,C0139,activated,2023-03-08,referral
E000330,C0140,signup,2023-02-10,referral
E000331,C0141,signup,2023-03-20,organic
E000332,C0141,signup,2023-03-20,organic
E000333,C0141,trial_start,2023-03-21,organic
E000334,C0141,activated,2023-03-22,organic
E000335,C0141,churned,2023-07-17,organic
E000336,C0142,signup,2023-01-18,organic
E000337,C0142,signup,2023-01-18,organic
E000338,C0142,trial_start,2023-01-19,organic
E000339,C0142,activated,2023-01-21,organic
E000340,C0143,signup,2023-03-07,organic
E000341,C0143,trial_start,2023-03-08,organic
E000342,C0144,signup,2023-01-03,referral
E000343,C0145,signup,2023-03-28,referral
E000344,C0145,trial_start,2023-03-29,referral
E000345,C0145,activated,2023-04-03,referral
E000346,C0146,signup,2023-02-24,referral
E000347,C0147,signup,2023-02-19,ads
E000348,C0147,trial_start,2023-02-20,ads
E000349,C0147,activated,2023-02-25,ads
E000350,C0148,signup,2023-01-17,ads
E000351,C0148,trial_start,2023-01-18,ads
E000352,C0149,signup,2023-01-22,organic
E000353,C0150,signup,2023-02-01,outbound
E000354,C0151,signup,2023-01-14,ads
E000355,C0151,churned,2023-03-26,ads
E000356,C0152,signup,2023-02-05,organic
E000357,C0152,trial_start,2023-02-06,organic
E000358,C0152,activated,2023-02-07,organic
E000359,C0153,signup,2023-01-12,organic
E000360,C0153,trial_start,2023-01-13,organic
E000361,C0153,activated,2023-01-18,organic
E000362,C0154,signup,2023-03-24,ads
E000363,C0155,signup,2023-03-25,organic
E000364,C0155,trial_start,2023-03-26,organic
E000365,C0156,signup,2023-02-03,outbound
E000366,C0156,trial_start,2023-02-04,outbound
E000367,C0156,activated,2023-02-09,outbound
E000368,C0157,signup,2023-03-15,ads
E000369,C0158,signup,2023-02-09,ads
E000370,C0158,signup,2023-02-09,ads
E000371,C0158,trial_start,2023-02-10,ads
E000372,C0159,signup,2023-02-16,referral
E000373,C0159,churned,2023-06-10,referral
E000374,C0160,signup,2023-01-14,outbound
E000375,C0160,trial_start,2023-01-15,outbound
E000376,C0160,activated,2023-01-17,outbound
E000377,C0161,signup,2023-01-29,referral
E000378,C0161,trial_start,2023-01-30,referral
E000379,C0161,churned,2023-05-24,referral
E000380,C0162,signup,2023-03-18,ads
E000381,C0162,trial_start,2023-03-19,ads
E000382,C0163,signup,2023-03-22,organic
E000383,C0163,trial_start,2023-03-23,organic
E000384,C0164,signup,2023-01-20,referral
E000385,C0164,trial_start,2023-01-21,referral
E000386,C0165,signup,2023-01-23,ads
E000387,C0166,signup,2023-01-03,outbound
E000388,C0166,trial_start,2023-01-04,outbound
E000389,C0167,signup,2023-02-20,organic
E000390,C0167,signup,2023-02-20,organic
E000391,C0168,signup,2023-03-31,outbound
E000392,C0168,trial_start,2023-04-01,outbound
E000393,C0168,activated,2023-04-06,outbound
E000394,C0169,signup,2023-04-01,ads
E000395,C0169,trial_start,2023-04-02,ads
E000396,C0169,activated,2023-04-06,ads
E000397,C0170,signup,2023-01-19,referral
E000398,C0170,churned,2023-05-12,referral
E000399,C0171,signup,2023-02-16,ads
E000400,C0171,trial_start,2023-02-17,ads
E000401,C0172,signup,2023-02-18,outbound
E000402,C0172,trial_start,2023-02-19,outbound
E000403,C0173,signup,2023-02-15,ads
E000404,C0173,trial_start,2023-02-16,ads
E000405,C0173,activated,2023-02-21,ads
E000406,C0174,signup,2023-01-20,organic
E000407,C0174,trial_start,2023-01-21,organic
E000408,C0174,activated,2023-01-23,organic
E000409,C0175,signup,2023-03-30,referral
E000410,C0175,trial_start,2023-03-31,referral
E000411,C0176,signup,2023-03-01,ads
E000412,C0176,trial_start,2023-03-02,ads
E000413,C0176,activated,2023-03-06,ads
E000414,C0177,signup,2023-01-15,ads
E000415,C0177,signup,2023-01-15,ads
E000416,C0177,trial_start,2023-01-16,ads
E000417,C0178,signup,2023-03-17,ads
E000418,C0178,trial_start,2023-03-18,ads
E000419,C0178,activated,2023-03-19,ads
E000420,C0179,signup,2023-02-19,outbound
E000421,C0179,trial_start,2023-02-20,outbound
E000422,C0179,activated,2023-02-25,outbound
E000423,C0179,churned,2023-05-01,outbound
E000424,C0180,signup,2023-03-10,ads
E000425,C0180,churned,2023-06-19,ads
E000426,C0181,signup,2023-01-09,organic
E000427,C0181,trial_start,2023-01-10,organic
E000428,C0182,signup,2023-01-27,ads
E000429,C0182,churned,2023-05-13,ads
E000430,C0183,signup,2023-01-01,outbound
E000431,C0183,churned,2023-02-16,outbound
E000432,C0184,signup,2023-03-25,outbound
E000433,C0184,trial_start,2023-03-26,outbound
E000434,C0184,churned,2023-05-09,outbound
E000435,C0185,signup,2023-02-16,referral
E000436,C0185,trial_start,2023-02-17,referral
E000437,C0186,signup,2023-02-08,outbound
E000438,C0186,signup,2023-02-08,outbound
E000439,C0187,signup,2023-03-26,referral
E000440,C0187,trial_start,2023-03-27,referral
E000441,C0187,activated,2023-03-30,referral
E000442,C0188,signup,2023-03-19,referral
E000443,C0188,trial_start,2023-03-20,referral
E000444,C0188,activated,2023-03-21,referral
E000445,C0188,churned,2023-05-12,referral
E000446,C0189,signup,2023-02-08,outbound
E000447,C0189,trial_start,2023-02-09,outbound
E000448,C0189,activated,2023-02-14,outbound
E000449,C0189,churned,2023-04-24,outbound
E000450,C0190,signup,2023-01-17,referral
E000451,C0190,trial_start,2023-01-18,referral
E000452,C0190,activated,2023-01-21,referral
E000453,C0191,signup,2023-02-21,outbound
E000454,C0192,signup,2023-03-10,outbound
E000455,C0192,trial_start,2023-03-11,outbound
E000456,C0192,activated,2023-03-13,outbound
E000457,C0193,signup,2023-02-23,outbound
E000458,C0193,trial_start,2023-02-24,outbound
E000459,C0194,signup,2023-01-10,outbound
E000460,C0194,trial_start,2023-01-11,outbound
E000461,C0195,signup,2023-03-23,referral
E000462,C0195,signup,2023-03-23,referral
E000463,C0196,signup,2023-01-29,outbound
E000464,C0196,trial_start,2023-01-30,outbound
E000465,C0196,churned,2023-03-13,outbound
E000466,C0197,signup,2023-01-23,ads
E000467,C0198,signup,2023-01-13,organic
E000468,C0199,signup,2023-03-19,referral
E000469,C0199,signup,2023-03-19,referral
E000470,C0199,trial_start,2023-03-20,referral
E000471,C0199,activated,2023-03-24,referral
E000472,C0199,churned,2023-07-13,referral
E000473,C0200,signup,2023-03-03,organic
E000474,C0200,trial_start,2023-03-04,organic
E000475,C0201,signup,2023-01-19,outbound
E000476,C0201,churned,2023-05-10,outbound
E000477,C0202,signup,2023-04-01,referral
E000478,C0202,trial_start,2023-04-02,referral
E000479,C0202,activated,2023-04-06,referral
E000480,C0202,churned,2023-06-15,referral
E000481,C0203,signup,2023-03-06,organic
E000482,C0204,signup,2023-02-09,outbound
E000483,C0204,trial_start,2023-02-10,outbound
E000484,C0204,activated,2023-02-13,outbound
E000485,C0205,signup,2023-01-10,ads
E000486,C0205,churned,2023-02-16,ads
E000487,C0206,signup,2023-02-06,ads
E000488,C0206,trial_start,2023-02-07,ads
E000489,C0207,signup,2023-03-28,organic
E000490,C0208,signup,2023-02-21,ads
E000491,C0208,signup,2023-02-21,ads
E000492,C0208,trial_start,2023-02-22,ads
E000493,C0208,churned,2023-05-16,ads
E000494,C0209,signup,2023-02-01,referral
E000495,C0209,trial_start,2023-02-02,referral
E000496,C0210,signup,2023-03-19,ads
E000497,C0210,trial_start,2023-03-20,ads
E000498,C0211,signup,2023-01-23,outbound
E000499,C0211,signup,2023-01-23,outbound
E000500,C0212,signup,2023-02-24,ads
E000501,C0212,trial_start,2023-02-25,ads
E000502,C0213,signup,2023-03-11,outbound
E000503,C0214,signup,2023-02-07,organic
E000504,C0214,trial_start,2023-02-08,organic
E000505,C0215,signup,2023-03-24,referral
E000506,C0216,signup,2023-01-08,organic
E000507,C0216,trial_start,2023-01-09,organic
E000508,C0216,activated,2023-01-12,organic
E000509,C0216,churned,2023-03-23,organic
E000510,C0217,signup,2023-02-21,outbound
E000511,C0217,trial_start,2023-02-22,outbound
E000512,C0217,activated,2023-02-23,outbound
E000513,C0218,signup,2023-02-22,outbound
E000514,C0218,trial_start,2023-02-23,outbound
E000515,C0218,activated,2023-02-26,outbound
E000516,C0218,churned,2023-05-13,outbound
E000517,C0219,signup,2023-02-08,referral
E000518,C0220,signup,2023-01-14,referral
E000519,C0220,trial_start,2023-01-15,referral
E000520,C0220,activated,2023-01-17,referral
E000521,C0221,signup,2023-01-01,organic
E000522,C0221,churned,2023-02-24,organic
E000523,C0222,signup,2023-01-06,referral
E000524,C0222,trial_start,2023-01-07,referral
E000525,C0222,activated,2023-01-08,referral
E000526,C0222,churned,2023-03-02,referral
E000527,C0223,signup,2023-03-27,organic
E000528,C0223,trial_start,2023-03-28,organic
E000529,C0223,activated,2023-04-01,organic
E000530,C0224,signup,2023-02-11,outbound
E000531,C0225,signup,2023-01-17,organic
E000532,C0225,trial_start,2023-01-18,organic
E000533,C0225,activated,2023-01-20,organic
E000534,C0226,signup,2023-03-29,ads
E000535,C0226,trial_start,2023-03-30,ads
E000536,C0226,activated,2023-04-04,ads
E000537,C0227,signup,2023-03-03,organic
E000538,C0227,trial_start,2023-03-04,organic
E000539,C0227,churned,2023-04-21,organic
E000540,C0228,signup,2023-02-01,outbound
E000541,C0228,trial_start,2023-02-02,outbound
E000542,C0228,activated,2023-02-04,outbound
E000543,C0229,signup,2023-01-26,organic
E000544,C0229,churned,2023-04-30,organic
E000545,C0230,signup,2023-01-25,outbound
E000546,C0230,trial_start,2023-01-26,outbound
E000547,C0230,churned,2023-03-12,outbound
E000548,C0231,signup,2023-01-05,organic
E000549,C0231,trial_start,2023-01-06,organic
E000550,C0231,activated,2023-01-07,organic
E000551,C0232,signup,2023-01-07,ads
E000552,C0232,trial_start,2023-01-08,ads
E000553,C0233,signup,2023-02-13,outbound
E000554,C0233,trial_start,2023-02-14,outbound
E000555,C0233,activated,2023-02-15,outbound
E000556,C0234,signup,2023-02-16,referral
E000557,C0234,trial_start,2023-02-17,referral
E000558,C0234,activated,2023-02-20,referral
E000559,C0235,signup,2023-01-06,outbound
E000560,C0235,signup,2023-01-06,outbound
E000561,C0235,trial_start,2023-01-07,outbound
E000562,C0235,activated,2023-01-10,outbound
E000563,C0236,signup,2023-02-25,ads
E000564,C0237,signup,2023-01-15,referral
E000565,C0237,signup,2023-01-15,referral
E000566,C0237,trial_start,2023-01-16,referral
E000567,C0237,activated,2023-01-18,referral
E000568,C0238,signup,2023-03-17,referral
E000569,C0238,trial_start,2023-03-18,referral
E000570,C0238,churned,2023-06-04,referral
E000571,C0239,signup,2023-01-14,ads
E000572,C0239,churned,2023-04-29,ads
E000573,C0240,signup,2023-01-25,outbound
E000574,C0240,churned,2023-05-04,outbound
E000575,C0241,signup,2023-02-08,referral
E000576,C0241,churned,2023-03-29,referral
E000577,C0242,signup,2023-01-17,ads
E000578,C0242,trial_start,2023-01-18,ads
E000579,C0242,activated,2023-01-23,ads
E000580,C0243,signup,2023-02-27,referral
E000581,C0243,trial_start,2023-02-28,referral
E000582,C0243,activated,2023-03-04,referral
E000583,C0244,signup,2023-01-22,ads
E000584,C0244,trial_start,2023-01-23,ads
E000585,C0244,activated,2023-01-24,ads
E000586,C0245,signup,2023-03-30,ads
E000587,C0246,signup,2023-01-22,ads
E000588,C0246,trial_start,2023-01-23,ads
E000589,C0246,activated,2023-01-27,ads
E000590,C0247,signup,2023-01-27,referral
E000591,C0247,trial_start,2023-01-28,referral
E000592,C0247,activated,2023-01-29,referral
E000593,C0248,signup,2023-03-06,organic
E000594,C0248,trial_start,2023-03-07,organic
E000595,C0248,activated,2023-03-09,organic
E000596,C0249,signup,2023-03-12,referral
E000597,C0249,trial_start,2023-03-13,referral
E000598,C0249,activated,2023-03-16,referral
E000599,C0249,churned,2023-04-29,referral
E000600,C0250,signup,2023-01-18,referral
E000601,C0251,signup,2023-01-27,outbound
E000602,C0251,trial_start,2023-01-28,outbound
E000603,C0251,activated,2023-02-02,outbound
E000604,C0252,signup,2023-01-11,referral
E000605,C0253,signup,2023-02-22,outbound
E000606,C0253,trial_start,2023-02-23,outbound
E000607,C0254,signup,2023-02-15,ads
E000608,C0254,churned,2023-03-19,ads
E000609,C0255,signup,2023-03-30,ads
E000610,C0255,trial_start,2023-03-31,ads
E000611,C0256,signup,2023-02-26,outbound
E000612,C0256,trial_start,2023-02-27,outbound
E000613,C0256,activated,2023-03-03,outbound
E000614,C0256,churned,2023-04-26,outbound
E000615,C0257,signup,2023-02-17,organic
E000616,C0257,trial_start,2023-02-18,organic
E000617,C0257,activated,2023-02-22,organic
E000618,C0257,churned,2023-04-10,organic
E000619,C0258,signup,2023-03-14,outbound
E000620,C0259,signup,2023-02-09,ads
E000621,C0259,trial_start,2023-02-10,ads
E000622,C0259,activated,2023-02-15,ads
E000623,C0259,churned,2023-03-29,ads
E000624,C0260,signup,2023-02-24,ads
E000625,C0261,signup,2023-03-09,ads
E000626,C0261,churned,2023-04-20,ads
E000627,C0262,signup,2023-02-19,organic
E000628,C0262,signup,2023-02-19,organic
E000629,C0263,signup,2023-01-17,ads
E000630,C0263,trial_start,2023-01-18,ads
E000631,C0263,activated,2023-01-23,ads
E000632,C0263,churned,2023-02-17,ads
E000633,C0264,signup,2023-03-11,ads
E000634,C0264,trial_start,2023-03-12,ads
E000635,C0264,churned,2023-06-10,ads
E000636,C0265,signup,2023-01-21,organic
E000637,C0265,trial_start,2023-01-22,organic
E000638,C0265,activated,2023-01-27,organic
E000639,C0266,signup,2023-01-03,ads
